"train/global_step","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Token Log Odds","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Token Log Odds__MIN","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Token Log Odds__MAX","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step__MIN","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step__MAX"
"0","0.5215064448995824","-4.400981903076172","6.443813323974609","192.04294478527606","0","396"
"50","0.17871715389675907","-4.047123432159424","5.4385986328125","590.9805194805194","401","795"
"100","0.41280946125452583","-3.1293060779571533","9.961563110351562","1006.0608108108108","803","1195"
"150","0.3282373209136078","-3.411851644515991","5.144250392913818","1397.210843373494","1203","1601"
"200","0.2950391345998136","-4.487798690795898","8.799873352050781","1785.4024390243903","1604","2003"
"250","0.5168562418792719","-4.927670478820801","10.938106536865234","2199.074074074074","2005","2403"
"300","0.3260059870925604","-4.8820085525512695","6.911508560180664","2596.6797385620916","2406","2805"
"350","0.4481942074335351","-4.236381530761719","5.236083984375","2997.802721088435","2807","3206"
"400","0.24527764245867728","-4.73870325088501","14.70329475402832","3409.68125","3209","3607"
"450","0.30517652817070484","-3.2776668071746826","6.792754650115967","3810.4226190476193","3609","4007"
"500","0.4449419233757649","-6.0719194412231445","10.90031623840332","4216.080291970803","4010","4402"
"550","0.595274141034748","-3.474677324295044","9.625532150268555","4615.151898734177","4413","4810"
"600","0.19744881252582008","-4.960088729858398","6.958900451660156","5022.155405405405","4812","5211"
"650","0.4981361469378074","-4.34765100479126","4.480973720550537","5402.833333333333","5213","5611"
"700","0.6553053992328706","-3.236391067504883","9.709161758422852","5817.097402597403","5616","6013"
"750","0.21535783971993977","-3.4304561614990234","6.8976240158081055","6214.419847328244","6015","6411"
"800","0.19190284260695087","-4.753111839294434","10.463045120239258","6616.723270440251","6417","6813"
"850","0.42378940050166547","-3.773176908493042","6.803975582122803","7010.49645390071","6817","7215"
"900","0.21992447953070363","-3.993273973464966","5.510153293609619","7409.167741935484","7218","7617"
"950","0.3444116996004691","-4.910310745239258","10.492892265319824","7809.35294117647","7619","8018"
"1000","0.5063936800146714","-3.7872061729431152","6.922721862792969","8219.429487179486","8022","8418"
"1050","0.16611048467177197","-3.740298271179199","5.25079870223999","8613.721804511279","8425","8812"
"1100","0.3997234775174049","-3.1017332077026367","7.6074724197387695","9023.8","8822","9220"
"1150","0.43111683014366364","-3.37286376953125","10.693272590637207","9426.083333333334","9231","9622"
"1200","0.3896871642083735","-3.22114896774292","6.3453874588012695","9817.081081081082","9624","10019"
"1250","0.392445390617632","-3.484450578689575","6.302412986755371","10217.325301204819","10028","10423"
"1300","0.45204189017012314","-3.0368733406066895","6.595319747924805","10617.297297297297","10426","10824"
"1350","0.7881330795178656","-4.120959758758545","7.5656280517578125","11024.66875","10827","11223"
"1400","0.4959168791388854","-4.7937116622924805","9.76827335357666","11429.666666666666","11231","11624"
"1450","0.5541137546502255","-5.983201026916504","13.99698543548584","11826.70945945946","11634","12026"
"1500","0.1858078914469686","-3.3260748386383057","7.467041492462158","12239.089655172414","12032","12429"
"1550","0.3404478281736374","-3.932687997817993","10.729669570922852","12635.771428571428","12432","12830"
"1600","0.23168849341708458","-5.996910095214844","8.674386024475098","13039.312883435583","12834","13231"
"1650","0.41769593209028244","-5.960341930389404","6.87054967880249","13439.913513513513","13233","13632"
"1700","0.5952780462693477","-3.6834158897399902","9.840686798095703","13826.753623188406","13637","14033"
"1750","0.27767923300195","-3.681795120239258","6.648268699645996","14230.937888198758","14035","14434"
"1800","0.4185150593334103","-4.212209701538086","7.648331642150879","14647.186335403727","14438","14834"
"1850","0.24386010626330973","-5.830185890197754","6.787502765655518","15038.875","14837","15234"
"1900","0.6021910703101125","-2.881845235824585","9.568551063537598","15447.074829931973","15243","15637"
"1950","0.5092221144917448","-4.144073009490967","7.241579055786133","15836.674556213018","15643","16038"
"2000","0.4587548893767518","-2.5689632892608643","8.538779258728027","16237.818181818182","16040","16439"
"2050","0.4154069179736347","-5.948131561279297","6.626101016998291","16648.22891566265","16441","16839"
"2100","0.5897634804436246","-2.590625524520874","9.479520797729492","17032.025157232703","16843","17240"
"2150","0.5362870437623579","-3.3294167518615723","7.4276275634765625","17442.6582278481","17244","17642"
"2200","0.4383278386104827","-2.452089309692383","6.07264518737793","17836.81879194631","17644","18042"
"2250","0.5658150601489791","-2.0289113521575928","6.756237030029297","18239.737931034484","18045","18442"
"2300","0.5571344137688478","-5.965817928314209","6.365386486053467","18633.52","18450","18845"
"2350","0.3388076657301759","-3.2285313606262207","5.837201118469238","19042.842465753423","18849","19245"
"2400","0.5284549578558654","-3.2784218788146973","6.290523052215576","19446.15","19248","19645"
"2450","0.7123229538572246","-3.475572347640991","10.686418533325195","19847.29655172414","19650","20044"
"2500","0.4287031163665943","-3.409425973892212","14.84802532196045","20253.121951219513","20050","20448"
"2550","0.5977496986371883","-3.223205089569092","8.286795616149902","20648.376811594204","20451","20847"
"2600","0.48809261809868415","-2.3112683296203613","6.66956901550293","21053.4076433121","20861","21249"
"2650","0.5808836469676957","-2.614806652069092","5.168548107147217","21445.425373134327","21253","21650"
"2700","0.49869035037270015","-3.0945918560028076","6.711666107177734","21856.019108280256","21656","22053"
"2750","0.7290316499119637","-3.4916765689849854","15.554082870483398","22249.53691275168","22057","22451"
"2800","0.2544037228933087","-3.3396382331848145","4.742995262145996","22650.140740740742","22456","22855"
"2850","0.3778842207410432","-5.667159080505371","5.857481002807617","23056.28323699422","22859","23255"
"2900","0.35192322713974256","-7.851308345794678","10.98270320892334","23451.176470588234","23258","23655"
"2950","0.512595469081724","-3.840688467025757","7.494873523712158","23868.844594594593","23659","24058"
"3000","0.7626280816876965","-2.880277395248413","15.437015533447266","24270.866242038217","24062","24459"
"3050","0.2920929004297112","-2.8958141803741455","5.862821578979492","24646.206060606062","24462","24860"
"3100","0.5146902648696474","-5.649440288543701","6.93690299987793","25039.904458598725","24863","25257"
"3150","0.6483018089804733","-2.966233253479004","9.505812644958496","25455.754385964912","25263","25659"
"3200","0.4648499325252114","-3.6568055152893066","5.336122512817383","25866.28205128205","25668","26063"